Clave de idioma;Plan de cuentas;Cuenta de mayor;Texto breve;Texto explicativo;Texto explicativo
ES;XSON;1002010800;Banco de Venezuela;Banco de Venezuela;BANCO DE VENEZUELA
ES;XSON;1002010801;Entrada de cheques;Entrada de cheques - Bco. de Venezuela;ENTRADA DE CHEQUES - BCO.
ES;XSON;1002010802;Salida de cheques;Salida de cheques - Bco. de Venezuela;SALIDA DE CHEQUES - BCO.
ES;XSON;1002010803;Transferencias;Transferencias - Bco. de Venezuela;TRANSFERENCIAS - BCO. DE
ES;XSON;1002010804;Otros debitos;Otros debitos - Bco. de Venezuela;OTROS DEBITOS - BCO. DE V
ES;XSON;1002010805;Otros creditos;Otros creditos - Bco. de Venezuela;OTROS CREDITOS - BCO. DE
ES;XSON;1002010900;BBVA Bancomer;BBVA Bancomer;BBVA BANCOMER
ES;XSON;1002010901;Entrada de cheques;Entrada de cheques - BBVA Bancomer;ENTRADA DE CHEQUES - BBVA
ES;XSON;1002010902;Salida de cheques;Salida de cheques - BBVA Bancomer;SALIDA DE CHEQUES - BBVA
ES;XSON;1002010903;Transferencias;Transferencias - BBVA Bancomer;TRANSFERENCIAS - BBVA BAN
ES;XSON;1002010904;Otros debitos;Otros debitos - BBVA Bancomer;OTROS DEBITOS - BBVA BANC
ES;XSON;1002010905;Otros creditos;Otros creditos - BBVA Bancomer;OTROS CREDITOS - BBVA BAN
ES;XSON;1002100099;AV-Bancos exterior;AV-Bancos exterior;AV-BANCOS EXTERIOR
ES;XSON;1002104010;Bank of New York;Bank of New York - Valores en custodia;BANK OF NEW YORK - VALORE
ES;XSON;1111000100;Colocaciones a termi;Colocaciones a termino;COLOCACIONES A TERMINO
ES;XSON;1111500100;Fondo Comun de Inver;Fondo Comun de Inversion;FONDO COMUN DE INVERSION
ES;XSON;1111500110;Acciones;Acciones;ACCIONES
ES;XSON;1111500190;Otros T°tulos;Otros T°tulos;OTROS T÷TULOS
ES;XSON;1111595110;AxI-Acciones;AxI-Acciones;AXI-ACCIONES
ES;XSON;1119000100;Otras Inversiones Co;Otras Inversiones Corrientes;OTRAS INVERSIONES CORRIEN
ES;XSON;1121000100;Credito por ventas;Credito por ventas - SBF;CREDITO POR VENTAS - SBF
ES;XSON;1121000101;Credito por ventas;Credito por ventas - Internet;CREDITO POR VENTAS - INTE
ES;XSON;1121000102;CrÇdito Vtas.Local F;CrÇdito por Ventas Local ? F°lmico;CRêDITO POR VENTAS LOCAL
ES;XSON;1121000103;CrÇdito Vtas.Ext.Fil;CrÇdito por Ventas Exterior ? F°lmico;CRêDITO POR VENTAS EXTERI
ES;XSON;1121000104;CrÇdito Vtas.Local M;CrÇdito por Ventas Local ? Servicio Musical;CRêDITO POR VENTAS LOCAL
ES;XSON;1121000105;CrÇdito Vtas.Ext.Mus;CrÇdito por Ventas Exterior ? Servicio Musical;CRêDITO POR VENTAS EXTERI
ES;XSON;1121000106;AV-Credito por Venta;AV-Credito por Ventas F°lmico;AV-CREDITO POR VENTAS F÷L
ES;XSON;1121000107;AV-Credito Ventas SM;AV-Credito por Ventas Servicio Musical;AV-CREDITO POR VENTAS SER
ES;XSON;1121000110;Credito por ventas;Credito por ventas - Publicidad;CREDITO POR VENTAS - PUBL
ES;XSON;1121000115;Credito por ventas;Credito por ventas - Mobile;CREDITO POR VENTAS - MOBI
ES;XSON;1121000120;Credito por ventas;Credito por ventas - Derechos exhibicion;CREDITO POR VENTAS - DERE
ES;XSON;1121000135;Credito por ventas;Credito por ventas - Otras ventas;CREDITO POR VENTAS - OTRA
ES;XSON;1121000179;AV-Recaudacion elect;AV-Recaudacion electronica;AV-RECAUDACION ELECTRONIC
ES;XSON;1121000180;Rec.electronica;Recaudacion electronica;RECAUDACION ELECTRONICA
ES;XSON;1121000184;AV-Transferencias;AV-Transferencias de terceros;AV-TRANSFERENCIAS DE TERC
ES;XSON;1121000185;Transf.de terceros;Transferencias de terceros;TRANSFERENCIAS DE TERCERO
ES;XSON;1121000190;Creditos por cobranz;Creditos por cobranzas a imputar;CREDITOS POR COBRANZAS A
ES;XSON;1121050090;AV-Credito x ventas;AV-Credito por ventas - SBF;AV-CREDITO POR VENTAS - S
ES;XSON;1121050091;AV-Credito x ventas;AV-Credito por ventas - Publicidad;AV-CREDITO POR VENTAS - P
ES;XSON;1121050092;AV-Credito x ventas;AV-Credito por ventas - Mobile;AV-CREDITO POR VENTAS - M
ES;XSON;1121050093;AV-Credito x ventas;AV-Credito por ventas - Derechos exhibicion;AV-CREDITO POR VENTAS - D
ES;XSON;1121050094;AV-Credito x ventas;AV-Credito por ventas - Otras ventas;AV-CREDITO POR VENTAS - O
ES;XSON;1121050100;Credito por ventas;Credito por ventas - SBF (asociada);CREDITO POR VENTAS - SBF
ES;XSON;1121050101;CrÇditos por ventas;CrÇditos por ventas - Internet (asociada);CRêDITOS POR VENTAS - INT
ES;XSON;1121050110;Credito por ventas;Credito por ventas - Publicidad (asociada);CREDITO POR VENTAS - PUBL
ES;XSON;1121050115;Credito por ventas;Credito por ventas - Mobile (asociada);CREDITO POR VENTAS - MOBI
ES;XSON;1121050120;Credito por ventas;Credito por ventas- Derechos exhibicion (asociada);CREDITO POR VENTAS- DEREC
ES;XSON;1121050135;Credito por ventas;Credito por ventas - Otras ventas (asociada);CREDITO POR VENTAS - OTRA
ES;XSON;1121100100;Credito x vtas ralac;Credito por ventas con relacionadas;CREDITO POR VENTAS CON RE
ES;XSON;1121150099;AV-Cred.x vtas.ralac;AV-Credito por ventas con relacionadas;AV-CREDITO POR VENTAS CON
ES;XSON;1121150100;Credito x vtas ralac;Credito por ventas con relacionadas (asociada);CREDITO POR VENTAS CON RE
ES;XSON;1121500100;Intereses a devengar;Intereses a devengar;INTERESES A DEVENGAR
